"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"HP",3,"Small",1,972,577
"HP",0,"Large",2,895,608
"MSI",1,"Small",3,1143,503
"HP",2,"Medium",0,1413,872
"MSI",0,"Medium",2,967,626
"MSI",6,"Large",4,1678,678
"MSI",2,"Large",1,627,713
"MSI",4,"Large",0,871,845
"MSI",4,"Medium",0,1331,996
"MSI",2,"Large",1,1184,840
"MSI",2,"Medium",0,843,860
"MSI",2,"Medium",1,1275,808
"Apple",0,"Medium",2,1180,745
"HP",0,"Medium",0,737,719
"HP",1,"Medium",3,936,461
"MSI",2,"Medium",1,1107,822
"HP",2,"Medium",1,1040,680
"HP",3,"Large",2,1093,683
"HP",1,"Medium",2,1364,731
"HP",3,"Medium",2,756,501
"HP",5,"Medium",0,1130,849
"HP",1,"Large",4,801,366
"HP",0,"Medium",3,1191,584
"MSI",2,"Large",2,1232,738
"HP",2,"Large",5,756,288
"HP",0,"Large",2,936,657
"MSI",4,"Small",0,926,707
"MSI",3,"Medium",2,981,629
"HP",2,"Medium",4,851,338
"MSI",1,"Medium",5,560,222
"MSI",4,"Large",1,1084,779
"MSI",1,"Medium",3,640,408
"HP",0,"Medium",2,1485,760
"HP",1,"Medium",2,900,611
"HP",0,"Small",1,885,532
"MSI",3,"Large",0,1046,920
"HP",1,"Large",2,992,695
"HP",4,"Small",3,1132,476
"MSI",0,"Medium",3,1274,644
"HP",3,"Medium",2,904,552
"HP",1,"Large",3,1204,620
"HP",4,"Medium",2,1381,690
"HP",3,"Medium",2,885,592
"Apple",4,"Small",2,846,586
"Apple",0,"Small",0,682,707
"MSI",2,"Medium",2,1015,726
"Apple",3,"Medium",4,1043,515
"HP",2,"Medium",2,835,526
"HP",1,"Medium",3,1125,564
"MSI",0,"Medium",4,853,408
"HP",0,"Large",2,659,581
"MSI",3,"Medium",5,944,309
"Apple",3,"Medium",3,655,530
"MSI",3,"Large",1,1316,934
"HP",3,"Medium",3,1037,474
"HP",2,"Large",3,969,554
"MSI",1,"Medium",1,1094,812
"HP",1,"Large",2,1261,693
"HP",1,"Large",3,870,491
"HP",4,"Medium",4,635,318
"HP",0,"Small",4,1056,318
"MSI",0,"Medium",0,1068,883
"HP",1,"Large",3,930,524
"HP",2,"Medium",3,1110,521
"HP",1,"Large",2,1222,758
"HP",2,"Large",0,986,879
"HP",3,"Small",1,890,508
"HP",1,"Large",4,959,408
"HP",2,"Large",3,1033,575
"HP",3,"Medium",5,1158,370
"HP",0,"Medium",2,1285,681
"MSI",1,"Medium",2,1183,696
"HP",1,"Large",2,996,622
"HP",0,"Large",0,1034,852
"MSI",0,"Medium",2,1170,610
"HP",2,"Large",0,1103,887
"Apple",1,"Large",2,822,674
"MSI",3,"Medium",2,1116,701
"HP",5,"Medium",1,1170,741
"HP",6,"Large",2,1084,670
"MSI",0,"Medium",4,795,384
"MSI",5,"Large",2,1315,826
"MSI",2,"Small",3,795,366
"HP",2,"Large",2,1093,723
"HP",2,"Large",1,1117,746
"HP",1,"Medium",1,1144,762
"MSI",0,"Large",4,525,361
"MSI",1,"Medium",0,1151,846
"HP",2,"Large",2,766,576
"Apple",3,"Large",2,887,738
"HP",2,"Medium",1,1118,778
"HP",2,"Small",0,915,752
"MSI",1,"Medium",2,939,558
"HP",1,"Large",1,1152,827
"MSI",4,"Medium",4,1070,503
"HP",0,"Medium",1,1082,695
"HP",3,"Medium",0,1096,850
"HP",0,"Large",5,1566,473
"HP",2,"Medium",2,1153,633
"HP",1,"Medium",0,962,766
"MSI",4,"Large",2,1137,772
"HP",0,"Large",2,846,610
"HP",2,"Medium",2,1253,682
"HP",0,"Medium",2,702,481
"MSI",4,"Medium",2,986,646
"MSI",1,"Medium",2,1085,723
"HP",5,"Medium",0,1053,853
"HP",3,"Medium",1,748,645
"MSI",1,"Large",1,652,676
"HP",3,"Medium",0,796,772
"HP",1,"Small",4,869,245
"MSI",3,"Small",2,1080,542
"HP",2,"Large",1,1084,834
"Apple",1,"Medium",1,1010,819
"MSI",3,"Small",0,1017,785
"Apple",2,"Medium",0,1245,932
"HP",2,"Large",0,1234,939
"HP",1,"Medium",2,883,569
"HP",1,"Medium",3,1185,541
"MSI",0,"Medium",2,1071,709
"HP",1,"Medium",5,1066,319
"Apple",0,"Large",2,1154,763
"MSI",5,"Large",6,999,344
"HP",3,"Medium",0,1279,906
"HP",1,"Medium",3,1115,549
"HP",3,"Medium",1,773,662
"MSI",2,"Small",3,1219,483
"HP",2,"Medium",1,979,693
"MSI",6,"Large",5,768,380
"MSI",3,"Medium",1,1017,760
"HP",4,"Medium",1,1088,709
"MSI",0,"Medium",2,1077,658
"HP",2,"Medium",3,1354,542
"MSI",1,"Medium",3,1087,572
"Apple",4,"Large",2,783,731
"HP",0,"Medium",1,1090,722
"HP",4,"Large",1,877,743
"MSI",2,"Medium",4,942,378
"MSI",2,"Small",0,986,739
"HP",4,"Large",3,850,495
"HP",3,"Large",1,1165,752
"HP",3,"Large",3,1171,539
"HP",1,"Large",2,601,575
"MSI",2,"Small",2,800,536
"MSI",3,"Medium",7,991,137
"HP",3,"Medium",2,807,536
"HP",4,"Large",3,1097,512
"MSI",4,"Large",2,1177,731
"MSI",3,"Medium",1,1259,834
"HP",2,"Large",0,802,786
"MSI",6,"Large",2,842,721
"MSI",1,"Medium",0,662,762
"HP",5,"Large",1,796,737
"HP",0,"Medium",2,1057,614
"MSI",1,"Medium",1,1457,865
"HP",2,"Medium",2,1380,747
"HP",1,"Small",4,1019,349
"HP",1,"Large",1,813,680
"HP",2,"Small",1,1088,649
"HP",1,"Medium",2,1208,726
"HP",3,"Medium",2,899,554
"HP",2,"Medium",0,977,792
"MSI",2,"Large",2,1483,819
"Apple",1,"Small",3,490,381
"HP",1,"Medium",2,999,605
"Apple",2,"Medium",2,1401,820
"Apple",3,"Large",3,713,608
"HP",3,"Large",3,998,581
"Apple",2,"Small",6,826,105
"MSI",3,"Medium",6,883,178
"MSI",2,"Medium",2,1154,738
"Apple",0,"Medium",2,1065,723
"MSI",0,"Large",2,1058,751
"HP",2,"Large",3,977,518
"HP",1,"Large",3,736,521
"HP",1,"Medium",2,1032,637
"MSI",0,"Medium",2,1283,694
"HP",2,"Medium",1,1083,783
"MSI",1,"Large",2,1088,720
"HP",1,"Medium",2,990,611
"HP",2,"Medium",4,1154,440
"HP",0,"Small",2,976,473
"Apple",3,"Medium",1,801,747
"MSI",2,"Medium",3,670,451
"HP",0,"Medium",1,874,668
"MSI",3,"Small",3,970,371
"HP",2,"Medium",0,1355,875
"HP",1,"Small",1,1022,560
"HP",1,"Large",2,795,597
"MSI",2,"Medium",1,1370,865
"MSI",1,"Medium",4,861,397
"MSI",2,"Medium",1,844,745
"HP",2,"Medium",2,1059,656
"MSI",2,"Medium",2,884,612
"HP",4,"Medium",1,1131,758
"MSI",2,"Large",1,1143,812
"MSI",3,"Medium",2,1168,644
"MSI",0,"Medium",1,987,763
"MSI",0,"Medium",2,748,647
"HP",3,"Large",2,660,518
"Apple",3,"Medium",0,1316,968
"HP",1,"Small",2,990,511
"HP",1,"Medium",3,1126,592
"HP",1,"Large",3,833,442
"MSI",2,"Small",3,1299,509
"MSI",2,"Large",1,1174,853
"MSI",1,"Large",1,993,882
"HP",2,"Large",0,1054,832
"HP",3,"Medium",2,1292,657
"MSI",1,"Medium",3,967,544
"MSI",0,"Medium",1,770,679
"MSI",5,"Medium",1,1077,782
"MSI",3,"Medium",1,1218,832
"HP",1,"Large",1,890,746
"MSI",2,"Small",4,1225,417
"HP",0,"Large",2,1077,639
"HP",2,"Small",1,985,622
"MSI",3,"Large",2,908,663
"HP",2,"Small",2,839,455
"MSI",2,"Medium",1,1237,770
"HP",3,"Medium",2,944,598
"HP",2,"Small",4,843,261
"HP",3,"Large",2,1124,678
"HP",1,"Large",2,1061,673
"MSI",4,"Large",1,1085,766
"HP",1,"Medium",1,1207,778
"HP",2,"Large",2,854,591
"HP",5,"Medium",0,461,658
"HP",1,"Large",3,602,398
"MSI",3,"Large",1,1025,818
"MSI",6,"Medium",3,916,518
"HP",2,"Medium",2,1259,600
"MSI",4,"Medium",4,850,461
"HP",2,"Large",1,973,746
"MSI",1,"Small",4,958,379
"HP",1,"Small",0,839,626
"MSI",3,"Large",1,1260,912
"HP",2,"Large",4,779,397
"HP",0,"Medium",4,860,409
"MSI",2,"Medium",1,711,705
"MSI",2,"Large",6,829,297
"MSI",0,"Large",1,951,810
"HP",2,"Medium",1,650,615
"MSI",3,"Small",0,1128,804
"MSI",0,"Small",1,978,582
"HP",4,"Large",2,1391,722
"MSI",4,"Medium",1,812,711
"HP",1,"Medium",5,826,242
"HP",2,"Medium",3,1264,587
"HP",3,"Small",3,1124,432
"HP",1,"Medium",1,1208,822
"MSI",1,"Large",1,966,822
"Apple",0,"Medium",1,1072,825
"MSI",0,"Medium",0,809,792
"Apple",2,"Large",3,1148,662
"MSI",2,"Medium",1,977,767
"HP",1,"Large",1,902,756
"MSI",4,"Small",1,872,578
"Apple",1,"Large",3,1637,840
"HP",2,"Medium",1,805,607
"MSI",3,"Medium",3,1060,581
"Apple",1,"Medium",4,803,515
"HP",2,"Small",0,1380,819
"MSI",1,"Medium",4,686,382
"MSI",2,"Large",2,1181,777
"MSI",1,"Medium",2,1037,677
"HP",2,"Medium",1,1189,756
"HP",1,"Medium",3,827,458
"HP",3,"Large",2,958,629
"Apple",1,"Medium",3,720,498
"MSI",1,"Medium",2,1046,707
"HP",2,"Medium",1,884,647
"HP",4,"Small",1,906,610
"HP",1,"Medium",2,911,601
"HP",1,"Large",2,613,532
"MSI",1,"Medium",2,864,598
"MSI",2,"Large",2,1161,746
"MSI",4,"Large",0,934,856
"HP",3,"Large",0,1177,890
"MSI",5,"Medium",2,1102,671
"HP",0,"Medium",4,1170,477
"HP",2,"Medium",2,566,452
"HP",4,"Large",0,713,863
"HP",0,"Medium",6,1112,249
"HP",2,"Medium",0,928,742
"MSI",1,"Medium",2,1182,674
"MSI",3,"Large",0,1067,946
"HP",0,"Medium",4,1239,436
"MSI",1,"Large",2,683,640
"HP",4,"Medium",2,1023,561
"MSI",2,"Large",1,850,717
"MSI",3,"Medium",1,957,704
"MSI",1,"Medium",2,1000,702
"MSI",0,"Large",2,933,686
"MSI",4,"Medium",4,1082,421
"MSI",2,"Large",1,947,783
"MSI",2,"Medium",4,809,392
"HP",2,"Large",2,1046,654
"HP",0,"Medium",1,599,583
"MSI",2,"Medium",2,1094,640
"HP",1,"Medium",5,947,299
"MSI",1,"Large",5,1161,432
"MSI",3,"Large",4,1092,535
"HP",2,"Small",1,1035,630
"Apple",2,"Medium",1,1439,894
"MSI",1,"Large",0,873,899
"MSI",2,"Medium",3,1256,620
"HP",2,"Medium",3,839,465
"MSI",4,"Medium",3,808,487
"HP",1,"Large",2,1060,659
"HP",4,"Medium",2,766,561
"HP",1,"Medium",1,870,687
"HP",2,"Medium",1,716,598
"Apple",4,"Small",2,1157,642
"MSI",2,"Medium",2,834,606
"Apple",2,"Small",2,900,532
"HP",3,"Medium",3,910,498
"MSI",0,"Large",0,1137,903
"HP",1,"Large",1,1145,826
"HP",4,"Large",1,1118,792
"HP",1,"Large",4,971,363
"HP",1,"Medium",6,902,201
"HP",0,"Medium",3,861,405
"Apple",2,"Large",2,875,747
"HP",3,"Large",2,859,633
"MSI",3,"Medium",2,804,625
"Apple",4,"Large",3,761,632
"MSI",4,"Medium",3,929,531
"HP",1,"Small",5,630,69
"MSI",2,"Large",0,1072,935
"MSI",3,"Medium",3,1102,612
"MSI",2,"Medium",1,1232,847
"MSI",0,"Large",3,1202,670
"HP",4,"Large",4,763,387
"HP",3,"Large",2,901,639
"MSI",1,"Medium",0,967,832
"MSI",2,"Small",2,1094,547
"HP",3,"Medium",0,1280,860
"MSI",0,"Small",2,944,576
"HP",3,"Medium",3,934,466
"MSI",3,"Large",1,1143,842
"Apple",2,"Medium",4,1126,570
"HP",2,"Medium",4,1011,410
"HP",1,"Large",1,1130,810
"HP",2,"Medium",0,1046,806
"HP",0,"Large",3,1022,546
"HP",2,"Large",2,978,643
"HP",3,"Medium",0,727,724
"HP",3,"Medium",4,1034,387
"HP",4,"Large",3,1014,603
"MSI",2,"Large",2,1000,658
"MSI",1,"Medium",1,1075,773
"MSI",1,"Medium",3,764,504
"HP",1,"Medium",2,1443,725
"HP",2,"Small",0,922,684
"MSI",0,"Medium",3,1089,575
"MSI",5,"Medium",1,1121,763
"Apple",3,"Small",1,909,700
"HP",1,"Small",1,1296,737
"MSI",1,"Small",3,1033,440
"MSI",2,"Medium",4,914,474
"Apple",2,"Medium",0,1102,937
"HP",5,"Large",2,1115,671
"HP",0,"Large",1,1269,839
"HP",3,"Medium",2,1122,635
"HP",1,"Small",2,980,515
"HP",2,"Large",2,742,586
"MSI",1,"Medium",3,1280,616
"MSI",3,"Large",2,1132,783
"HP",3,"Medium",1,942,717
"Apple",4,"Large",2,767,669
"MSI",0,"Medium",3,1296,618
"MSI",0,"Large",1,596,665
"MSI",2,"Large",2,968,675
"HP",1,"Large",1,1127,829
"HP",5,"Medium",0,1069,774
"Apple",1,"Large",3,827,585
"HP",3,"Small",2,1041,522
"MSI",2,"Large",1,980,822
"HP",2,"Large",3,1084,583
"MSI",2,"Medium",0,1228,876
"HP",2,"Medium",0,763,756
"HP",3,"Medium",0,1160,868
"HP",2,"Small",1,1287,710
"MSI",3,"Medium",2,986,642
"HP",0,"Medium",3,1121,545
"HP",0,"Medium",4,1175,436
"HP",0,"Medium",1,760,659
"MSI",1,"Large",1,1053,810
"MSI",2,"Large",1,1023,812
"MSI",2,"Large",1,1011,770
"HP",2,"Medium",2,696,535
"HP",2,"Medium",2,662,527
"MSI",1,"Medium",2,998,634
"MSI",0,"Large",4,736,398
"HP",2,"Large",1,867,697
"HP",3,"Medium",6,785,175
"HP",2,"Small",1,1179,662
"MSI",2,"Large",0,967,903
"HP",2,"Medium",2,1268,711
"HP",0,"Large",3,843,531
"HP",2,"Medium",1,1146,804
"HP",4,"Medium",0,1089,831
"HP",3,"Large",0,933,830
"MSI",2,"Large",5,1258,491
"HP",3,"Large",1,938,756
"HP",2,"Medium",0,1100,820
"HP",1,"Large",2,763,556
"MSI",1,"Medium",4,1015,472
"MSI",1,"Small",5,1011,250
"Apple",1,"Small",0,848,740
"MSI",0,"Medium",1,1061,722
"MSI",2,"Large",0,1130,912
"MSI",0,"Large",2,1203,727
"MSI",2,"Small",2,1088,567
"MSI",3,"Large",2,567,559
"HP",5,"Large",1,956,751
"HP",3,"Large",1,1146,776
"MSI",1,"Medium",6,792,178
"HP",1,"Medium",4,1085,431
"HP",4,"Small",3,1273,456
"HP",1,"Large",1,778,711
"HP",2,"Large",0,781,746
"HP",2,"Small",1,960,617
"Apple",3,"Large",1,1350,945
"MSI",0,"Medium",2,1208,745
"MSI",0,"Large",2,1291,778
"HP",1,"Medium",3,1230,566
"HP",4,"Medium",1,909,606
"HP",3,"Large",2,977,594
"Apple",2,"Medium",3,1288,646
"HP",3,"Medium",1,1086,731
"MSI",5,"Medium",2,909,676
"Apple",0,"Medium",3,912,539
"MSI",2,"Medium",2,1050,676
"HP",3,"Large",3,1223,618
"Apple",2,"Medium",0,1079,886
"MSI",3,"Small",1,989,582
"HP",2,"Large",2,1095,719
"HP",3,"Small",2,1134,541
"MSI",1,"Medium",2,971,689
"HP",3,"Medium",1,982,693
"Apple",2,"Large",2,937,730
"HP",2,"Small",0,1170,754
"MSI",6,"Large",0,855,855
"HP",4,"Medium",4,1356,509
"MSI",1,"Medium",1,1074,731
"Apple",2,"Medium",2,1559,861
"MSI",1,"Medium",0,782,812
"HP",1,"Medium",2,948,626
